date,appliance_type,ambient_temperature,process_temperature,rotational_speed,torque,service_required,TWF,HDF,PWF,OSF,RNF,temp_diff,device_age_months,failure_risk_score,risk_category,device_id,day,power_consumption_kwh,ambient_temperature_energy,usage_hours_daily,energy_per_hour,region,appliance_type_energy
2894,M,300.7,309.6,1568.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,2.7333333333333334,0.004558976,Low Risk,2893,2016-02-06,11.98,9.75173611111111,2.4,4.991666666666667,South,Refrigerator
2895,L,300.7,309.6,1733.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,2.8333333333333335,0.0019056767,Low Risk,2894,2016-05-23,11.96,12.570486111111112,2.4,4.983333333333334,South,Refrigerator
2896,M,300.7,309.6,1473.0,48.1,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,2.9,0.008241194,Low Risk,2895,2016-05-24,13.85,11.568750000000001,2.4,5.770833333333333,North,AC
2897,M,300.7,309.5,1633.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,3.0,0.0038641328,Low Risk,2896,2016-02-12,16.97,3.213888888888889,2.4,7.070833333333333,West,Washing Machine
2898,M,300.6,309.5,1530.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,3.1,0.005197513,Low Risk,2897,2016-03-05,13.16,2.7503472222222225,2.4,5.483333333333333,South,Washing Machine
2899,M,300.6,309.5,1550.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,3.2,0.005197513,Low Risk,2898,2016-01-17,20.55,0.3927083333333334,2.4,8.5625,East,Refrigerator
2900,L,300.6,309.4,1410.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.3,0.008919886,Low Risk,2899,2016-03-07,20.54,1.6152777777777778,2.4,8.558333333333334,North,AC
2901,L,300.5,309.3,1574.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,3.3666666666666667,0.00201409,Low Risk,2900,2016-05-15,14.98,8.556597222222221,2.4,6.241666666666667,East,AC
2902,L,300.6,309.4,1425.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.433333333333333,0.008115845,Low Risk,2901,2016-01-22,6.58,1.5989583333333333,2.4,2.7416666666666667,North,Washing Machine
2903,M,300.6,309.4,1541.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.5,0.0047061676,Low Risk,2902,2016-01-26,10.27,9.551388888888887,2.4,4.279166666666667,East,Refrigerator
2904,M,300.7,309.5,1733.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,3.6,0.0041716783,Low Risk,2903,2016-02-22,13.450000000000001,8.370833333333334,2.4,5.604166666666667,South,Refrigerator
2905,L,300.6,309.4,2496.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.7,0.11984238,Low Risk,2904,2016-05-06,14.51,15.878472222222221,2.4,6.045833333333333,West,Washing Machine
2906,L,300.6,309.4,1552.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.7666666666666666,0.0040511256,Low Risk,2905,2016-05-24,13.85,11.568750000000001,2.4,5.770833333333333,North,AC
2907,L,300.6,309.3,1409.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,8.699999999999989,3.8333333333333335,0.007211833,Low Risk,2906,2016-04-30,20.22,7.4906250000000005,2.4,8.425,South,Washing Machine
2908,M,300.6,309.4,1581.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.9,0.0047061676,Low Risk,2907,2016-03-01,10.42,2.4524305555555554,2.4,4.341666666666667,West,AC
2909,L,300.7,309.5,1251.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,4.0,0.009177355,Low Risk,2908,2016-03-25,25.98,7.070833333333334,2.4,10.825000000000001,North,Refrigerator
2910,L,300.7,309.6,1500.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,4.066666666666666,0.0034798211,Low Risk,2909,2016-01-18,13.530000000000001,-2.9378472222222225,2.4,5.637500000000001,North,Refrigerator
2911,L,300.6,309.5,1576.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,4.133333333333334,0.0051194285,Low Risk,2910,2016-02-24,11.23,2.0218749999999996,2.4,4.679166666666667,South,Refrigerator
2912,M,300.7,309.5,1352.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,4.2,0.016792282,Low Risk,2911,2016-03-09,12.5,5.178819444444445,2.4,5.208333333333334,East,Washing Machine
2913,L,300.7,309.6,1661.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,4.3,0.005400724,Low Risk,2912,2016-05-21,23.28,17.851041666666667,2.4,9.700000000000001,North,AC
2914,L,300.7,309.6,1541.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,4.366666666666666,0.004288332,Low Risk,2913,2016-04-23,15.120000000000001,7.106597222222223,2.4,6.300000000000001,East,Refrigerator
2915,H,300.6,309.6,1888.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.433333333333334,0.001063291,Low Risk,2914,2016-04-17,15.25,5.509375,2.4,6.354166666666667,West,AC
2916,L,300.5,309.5,1255.0,62.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.6,0.021769319,Low Risk,2915,2016-03-29,13.17,8.307291666666666,2.4,5.4875,South,Washing Machine
2917,L,300.6,309.6,1411.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.666666666666667,0.009875132,Low Risk,2916,2016-05-13,24.28,16.774652777777778,2.4,10.116666666666667,West,Washing Machine
2918,L,300.6,309.5,1516.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,4.733333333333333,0.006157855,Low Risk,2917,2016-01-14,21.8,3.4319444444444445,2.4,9.083333333333334,South,AC
2919,M,300.6,309.5,1492.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,4.8,0.009433077,Low Risk,2918,2016-04-09,15.15,8.958680555555555,2.4,6.3125,North,AC
2920,L,300.6,309.6,1726.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.9,0.015951995,Low Risk,2919,2016-04-23,15.120000000000001,7.106597222222223,2.4,6.300000000000001,East,Refrigerator
2921,L,300.7,309.7,1598.0,33.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.966666666666667,0.008210381,Low Risk,2920,2016-05-26,21.17,14.92361111111111,2.4,8.820833333333335,East,AC
2922,L,300.8,309.8,1657.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.033333333333333,0.010221325,Low Risk,2921,2016-05-08,9.87,19.372569444444444,2.4,4.1125,North,AC
2923,L,300.8,309.7,1481.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,5.1,0.009013326,Low Risk,2922,2016-05-22,15.86,15.51388888888889,2.4,6.608333333333333,South,Washing Machine
2924,M,300.7,309.7,1397.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.166666666666667,0.019109087,Low Risk,2923,2016-03-06,12.92,2.7618055555555556,2.4,5.383333333333334,West,AC
2925,L,300.8,309.7,1461.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,5.266666666666667,0.008354633,Low Risk,2924,2016-04-15,18.92,11.671875,2.4,7.883333333333335,South,AC
2926,M,300.7,309.6,1388.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,5.333333333333333,0.018490672,Low Risk,2925,2016-03-25,25.98,7.070833333333334,2.4,10.825000000000001,North,Refrigerator
2927,L,300.7,309.7,1507.0,52.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.433333333333334,0.014811046,Low Risk,2926,2016-02-11,15.3,3.5381944444444446,2.4,6.375000000000001,South,Washing Machine
2928,M,300.7,309.6,1421.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,5.5,0.025871385,Low Risk,2927,2016-02-07,11.43,8.263541666666667,2.4,4.7625,North,AC
2929,M,300.8,309.7,1258.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,5.6,0.0067428877,Low Risk,2928,2016-02-01,22.45,10.956597222222221,2.4,9.354166666666666,North,Washing Machine
2930,M,300.8,309.7,1482.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,5.7,0.010388991,Low Risk,2929,2016-01-27,6.57,10.219097222222222,2.4,2.7375000000000003,South,Washing Machine
2931,H,300.7,309.6,1403.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,5.8,0.0052750628,Low Risk,2930,2016-03-09,12.5,5.178819444444445,2.4,5.208333333333334,East,Washing Machine
2932,L,300.8,309.7,1373.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,5.966666666666667,0.0148873925,Low Risk,2931,2016-04-09,15.15,8.958680555555555,2.4,6.3125,North,AC
2933,L,300.9,309.7,1460.0,42.1,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,6.033333333333333,0.017152641,Low Risk,2932,2016-04-25,10.82,4.853472222222222,2.4,4.508333333333334,East,Washing Machine
2934,M,300.8,309.7,1751.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,6.1,0.059163727,Low Risk,2933,2016-02-05,9.01,8.972222222222221,2.4,3.754166666666667,North,Washing Machine
2935,M,300.8,309.6,1546.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,6.2,0.017048504,Low Risk,2934,2016-02-04,14.450000000000001,5.700347222222223,2.4,6.020833333333334,South,Refrigerator
2936,M,300.8,309.7,1680.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,6.3,0.16992079,Low Risk,2935,2016-05-27,14.86,17.195412844036696,1.8166666666666667,8.179816513761468,East,Refrigerator
2937,M,300.9,309.7,1394.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,6.4,0.06437363,Low Risk,2936,2016-02-24,11.23,2.0218749999999996,2.4,4.679166666666667,South,Refrigerator
2938,L,300.7,309.6,1810.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,6.5,0.01880866,Low Risk,2937,2016-04-02,7.3,9.333680555555555,2.4,3.0416666666666665,North,AC
2939,L,300.7,309.5,1479.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,6.566666666666666,0.043832466,Low Risk,2938,2016-01-21,13.34,0.17500000000000002,2.4,5.558333333333334,South,AC
2940,L,300.9,309.7,1431.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,6.633333333333334,0.031542126,Low Risk,2939,2016-04-23,15.120000000000001,7.106597222222223,2.4,6.300000000000001,East,Refrigerator
2941,L,300.9,309.7,2355.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,6.7,0.14623752,Low Risk,2940,2016-03-18,9.02,3.826388888888889,2.4,3.7583333333333333,South,Refrigerator
2942,M,300.7,309.6,1996.0,19.8,1.0,1.0,0.0,0.0,0.0,0.0,8.900000000000034,6.766666666666667,0.102532364,Low Risk,2941,2016-04-14,12.35,9.322569444444445,2.4,5.145833333333333,North,Washing Machine
2943,L,300.7,309.5,1461.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.0,0.0037173035,Low Risk,2942,2016-03-15,14.01,4.321180555555555,2.4,5.8375,West,AC
2944,H,300.7,309.5,2007.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.06666666666666667,0.00042598345,Low Risk,2943,2016-02-28,7.7,2.54375,2.4,3.2083333333333335,North,Refrigerator
2945,L,300.7,309.6,1505.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,0.23333333333333334,0.0012176064,Low Risk,2944,2016-03-02,13.360000000000001,5.936805555555555,2.4,5.566666666666667,West,Refrigerator
2946,H,300.7,309.6,1925.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,0.3,0.00042598345,Low Risk,2945,2016-04-21,11.07,11.9125,2.4,4.612500000000001,South,Washing Machine
2947,M,300.7,309.5,1622.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.4666666666666667,0.0016852947,Low Risk,2946,2016-03-07,20.54,1.6152777777777778,2.4,8.558333333333334,North,AC
2948,L,300.7,309.5,1592.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.5666666666666667,0.0047463463,Low Risk,2947,2016-02-26,13.55,3.078125,2.4,5.645833333333334,West,AC
2949,L,300.7,309.5,1850.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.6333333333333333,0.0013575882,Low Risk,2948,2016-02-05,9.01,8.972222222222221,2.4,3.754166666666667,North,Washing Machine
2950,M,300.7,309.5,1470.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.7,0.013104906,Low Risk,2949,2016-05-03,10.040000000000001,10.580208333333333,2.4,4.183333333333334,East,Refrigerator
2951,M,300.7,309.5,1445.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.8,0.007707932,Low Risk,2950,2016-01-15,18.05,2.665277777777778,2.4,7.520833333333334,East,Refrigerator
2952,L,300.7,309.5,1685.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.9,0.002158041,Low Risk,2951,2016-04-03,10.34,15.3125,2.4,4.308333333333334,East,AC
2953,H,300.7,309.5,1667.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,0.9666666666666667,0.0013456912,Low Risk,2952,2016-03-02,13.360000000000001,5.936805555555555,2.4,5.566666666666667,West,Refrigerator
2954,L,300.7,309.5,1578.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,1.1333333333333333,0.0025307718,Low Risk,2953,2016-04-24,11.780000000000001,4.091666666666667,2.4,4.908333333333334,East,Washing Machine
2955,H,300.6,309.4,1691.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,1.2,0.0015794331,Low Risk,2954,2016-03-04,13.73,4.074305555555556,2.4,5.720833333333334,West,Refrigerator
2956,M,300.7,309.5,1439.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,1.3666666666666667,0.008116797,Low Risk,2955,2016-01-25,9.47,9.531597222222222,2.4,3.9458333333333337,West,Washing Machine
2957,M,300.8,309.6,1404.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,1.4666666666666666,0.010294096,Low Risk,2956,2016-03-11,10.23,4.353125,2.4,4.2625,South,AC
2958,L,300.8,309.6,1498.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,1.5666666666666667,0.0046915407,Low Risk,2957,2016-05-11,10.67,17.57326388888889,2.4,4.445833333333334,South,Washing Machine
2959,M,300.8,309.5,1481.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,8.699999999999989,1.6333333333333333,0.0035340537,Low Risk,2958,2016-01-31,18.64,7.171527777777778,2.4,7.7666666666666675,West,Refrigerator
2960,M,300.7,309.4,1589.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699999999999989,1.7333333333333334,0.003064942,Low Risk,2959,2016-02-25,18.01,2.398611111111111,2.4,7.504166666666667,North,Washing Machine
2961,L,300.7,309.5,1467.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,1.8333333333333333,0.0025960663,Low Risk,2960,2016-05-23,11.96,12.570486111111112,2.4,4.983333333333334,South,Refrigerator
2962,L,300.6,309.4,1654.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,1.9,0.0031040835,Low Risk,2961,2016-02-17,9.620000000000001,-0.4972222222222222,2.4,4.008333333333334,North,Refrigerator
2963,L,300.7,309.5,1508.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,1.9666666666666666,0.0025631422,Low Risk,2962,2016-03-12,14.2,4.529861111111111,2.4,5.916666666666667,South,Washing Machine
2964,M,300.7,309.6,1439.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,2.033333333333333,0.008116797,Low Risk,2963,2016-04-05,22.3,10.737152777777778,2.4,9.291666666666668,East,Refrigerator
2965,L,300.7,309.5,1692.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,2.1333333333333333,0.0023511865,Low Risk,2964,2016-03-28,18.330000000000002,8.929513888888888,2.4,7.637500000000001,North,AC
2966,M,300.7,309.5,1838.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,2.2,0.0028853377,Low Risk,2965,2016-02-25,18.01,2.398611111111111,2.4,7.504166666666667,North,Washing Machine
2967,L,300.6,309.3,1601.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,8.699999999999989,2.3,0.0026381162,Low Risk,2966,2016-01-13,13.97,4.856944444444444,2.4,5.820833333333334,East,Washing Machine
2968,L,300.6,309.4,1369.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,2.3666666666666667,0.024979828,Low Risk,2967,2016-01-16,18.04,2.194097222222222,2.4,7.516666666666667,South,AC
2969,M,300.6,309.4,1312.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,2.433333333333333,0.022420999,Low Risk,2968,2016-04-12,15.9,10.648263888888888,2.4,6.625,West,Washing Machine
2970,L,300.6,309.4,1468.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,2.533333333333333,0.0048508667,Low Risk,2969,2016-01-18,13.530000000000001,-2.9378472222222225,2.4,5.637500000000001,North,Refrigerator
2971,M,300.6,309.4,1452.0,39.4,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,2.6,0.0063691754,Low Risk,2970,2016-04-27,10.81,4.772916666666666,2.4,4.504166666666667,West,AC
2972,M,300.7,309.5,1393.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,2.7,0.013649277,Low Risk,2971,2016-03-25,25.98,7.070833333333334,2.4,10.825000000000001,North,Refrigerator
2973,M,300.6,309.4,1432.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,2.8,0.013947891,Low Risk,2972,2016-03-27,10.52,8.969791666666666,2.4,4.383333333333334,East,AC
2974,M,300.6,309.3,1510.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699999999999989,2.9,0.005217685,Low Risk,2973,2016-02-29,22.63,2.153125,2.4,9.429166666666667,South,Washing Machine
2975,M,300.6,309.4,1521.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,8.799999999999955,3.0,0.00460243,Low Risk,2974,2016-01-21,13.34,0.17500000000000002,2.4,5.558333333333334,South,AC
2976,H,300.5,309.4,1360.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,3.1,0.0047541214,Low Risk,2975,2016-04-14,12.35,9.322569444444445,2.4,5.145833333333333,North,Washing Machine
2977,M,300.5,309.3,1881.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,8.800000000000011,3.2666666666666666,0.0048364964,Low Risk,2976,2016-03-20,16.15,5.882986111111111,2.4,6.729166666666666,North,Refrigerator
2978,L,300.4,309.3,1413.0,50.3,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000034,3.3666666666666667,0.0069925883,Low Risk,2977,2016-01-26,10.27,9.551388888888887,2.4,4.279166666666667,East,Refrigerator
2979,H,300.5,309.4,1642.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,8.899999999999977,3.433333333333333,0.0009682693,Low Risk,2978,2016-03-18,9.02,3.826388888888889,2.4,3.7583333333333333,South,Refrigerator
2980,L,300.5,309.5,1542.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.6,0.002786948,Low Risk,2979,2016-04-18,10.34,6.659722222222222,2.4,4.308333333333334,East,Washing Machine
2981,L,300.4,309.5,1447.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,9.100000000000023,3.6666666666666665,0.0028961226,Low Risk,2980,2016-02-27,11.99,3.060416666666667,2.4,4.995833333333334,West,Washing Machine
2982,H,300.4,309.4,1530.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.7333333333333334,0.0010060943,Low Risk,2981,2016-03-14,23.62,3.107291666666667,2.4,9.841666666666667,West,AC
2983,L,300.5,309.5,1795.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.9,0.0024060395,Low Risk,2982,2016-04-09,15.15,8.958680555555555,2.4,6.3125,North,AC
2984,L,300.6,309.6,1290.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.966666666666667,0.0060048653,Low Risk,2983,2016-03-26,15.69,9.208333333333334,2.4,6.5375,West,AC
2985,L,300.6,309.7,1639.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,9.099999999999966,4.033333333333333,0.0050878827,Low Risk,2984,2016-04-20,11.61,8.882291666666667,2.4,4.8375,East,AC
2986,L,300.7,309.8,1596.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,9.100000000000023,4.1,0.0039763637,Low Risk,2985,2016-04-08,19.36,7.957986111111111,2.4,8.066666666666666,East,Washing Machine
2987,L,300.6,309.8,1455.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.166666666666667,0.011237656,Low Risk,2986,2016-01-28,5.4,5.8694444444444445,2.4,2.2500000000000004,East,Washing Machine
2988,M,300.6,309.8,1659.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.233333333333333,0.028810326,Low Risk,2987,2016-01-29,6.92,6.651736111111111,2.4,2.8833333333333333,West,AC
2989,M,300.6,309.8,1532.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.333333333333333,0.0052845837,Low Risk,2988,2016-03-05,13.16,2.7503472222222225,2.4,5.483333333333333,South,Washing Machine
2990,L,300.6,309.8,1502.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.433333333333334,0.0070049134,Low Risk,2989,2016-04-21,11.07,11.9125,2.4,4.612500000000001,South,Washing Machine
2991,L,300.6,309.8,1688.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.5,0.008741012,Low Risk,2990,2016-05-07,13.99,18.51909722222222,2.4,5.829166666666667,West,Refrigerator
2992,M,300.5,309.7,1341.0,50.9,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.566666666666666,0.00779999,Low Risk,2991,2016-05-23,11.96,12.570486111111112,2.4,4.983333333333334,South,Refrigerator
2993,M,300.5,309.7,1685.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,4.666666666666667,0.039718367,Low Risk,2992,2016-01-14,21.8,3.4319444444444445,2.4,9.083333333333334,South,AC
2994,M,300.5,309.8,1370.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,4.766666666666667,0.016572237,Low Risk,2993,2016-04-27,10.81,4.772916666666666,2.4,4.504166666666667,West,AC
2995,L,300.5,309.8,1461.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,4.866666666666666,0.01011474,Low Risk,2994,2016-05-04,11.370000000000001,9.895833333333334,2.4,4.737500000000001,North,Washing Machine
2996,L,300.5,309.8,1550.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,4.933333333333334,0.017428549,Low Risk,2995,2016-02-08,21.22,7.980208333333333,2.4,8.841666666666667,West,AC
2997,M,300.5,309.8,1508.0,37.8,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,5.0,0.01943126,Low Risk,2996,2016-03-09,12.5,5.178819444444445,2.4,5.208333333333334,East,Washing Machine
2998,L,300.5,309.8,1345.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,5.1,0.3693644,Medium Risk,2997,2016-05-14,14.34,9.61736111111111,2.4,5.9750000000000005,North,Washing Machine
2999,L,300.5,309.7,1616.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,5.166666666666667,0.014356093,Low Risk,2998,2016-04-17,15.25,5.509375,2.4,6.354166666666667,West,AC
3000,L,300.5,309.7,1395.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,9.199999999999989,5.233333333333333,0.46604973,Medium Risk,2999,2016-01-27,6.57,10.219097222222222,2.4,2.7375000000000003,South,Washing Machine
3001,H,300.5,309.8,1324.0,72.8,1.0,0.0,0.0,1.0,0.0,0.0,9.300000000000011,5.3,0.968048,High Risk,3000,2016-04-26,10.66,3.793055555555556,2.4,4.441666666666667,West,Washing Machine
3002,L,300.5,309.8,1445.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,5.466666666666667,0.016367674,Low Risk,3001,2016-02-22,13.450000000000001,8.370833333333334,2.4,5.604166666666667,South,Refrigerator
3003,M,300.5,309.8,1555.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,5.533333333333333,0.01943126,Low Risk,3002,2016-03-30,12.63,9.071874999999999,2.4,5.2625,West,AC
3004,M,300.6,309.9,1449.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,9.299999999999955,5.633333333333334,0.015312551,Low Risk,3003,2016-01-18,13.530000000000001,-2.9378472222222225,2.4,5.637500000000001,North,Refrigerator
3005,M,300.5,309.9,1466.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,9.399999999999977,5.733333333333333,0.01627737,Low Risk,3004,2016-04-25,10.82,4.853472222222222,2.4,4.508333333333334,East,Washing Machine
3006,L,300.5,309.9,1503.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,9.399999999999977,5.833333333333333,0.035310667,Low Risk,3005,2016-01-18,13.530000000000001,-2.9378472222222225,2.4,5.637500000000001,North,Refrigerator
3007,L,300.4,309.7,1488.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,5.9,0.024096489,Low Risk,3006,2016-04-15,18.92,11.671875,2.4,7.883333333333335,South,AC
3008,L,300.4,309.7,1314.0,50.2,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,5.966666666666667,0.0038347142,Low Risk,3007,2016-04-13,13.57,8.209722222222222,2.4,5.654166666666667,East,AC
3009,M,300.4,309.7,1547.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,6.033333333333333,0.0731966,Low Risk,3008,2016-03-15,14.01,4.321180555555555,2.4,5.8375,West,AC
3010,M,300.4,309.7,1466.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,6.133333333333334,0.03332006,Low Risk,3009,2016-02-18,12.06,1.1670138888888888,2.4,5.025,West,Refrigerator
3011,L,300.3,309.6,1537.0,37.1,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,6.233333333333333,0.05684985,Low Risk,3010,2016-03-31,11.4,6.925,2.4,4.75,North,Refrigerator
3012,M,300.2,309.5,1434.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000011,6.3,0.021977866,Low Risk,3011,2016-04-03,10.34,15.3125,2.4,4.308333333333334,East,AC
3013,L,300.4,309.6,1432.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,9.200000000000045,6.4,0.029004766,Low Risk,3012,2016-04-07,9.91,7.427083333333333,2.4,4.129166666666667,South,AC
3014,L,300.5,309.6,1390.0,48.4,0.0,0.0,0.0,0.0,0.0,0.0,9.100000000000023,6.466666666666667,0.010910012,Low Risk,3013,2016-04-05,22.3,10.737152777777778,2.4,9.291666666666668,East,Refrigerator
